"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66";"67";"68";"69";"70"
"S020A";31271;41183;16140;3235;3904;496;436;7272;574;528;1731;117;12532;7661;1607;1936;1449;3619;14275;2637;469;3925;9446;3801;286;9511;9446;2844;588;11453;18156;2260;1137;22740;2056;376;145;3103;25;24874;12689;2510;656;541;9290;3088;14005;3057;5259;4022;5877;846;611;11169;23961;2346;2728;419;8940;11764;2558;7356;188;75;1054;9734;1124;3511;104;747
"S020B";42471;52731;25957;4718;4686;547;675;10181;823;844;2916;675;16545;12655;1969;2157;2036;5320;15957;2836;721;5360;9128;4693;698;11116;10875;2908;856;18796;32113;2470;1575;29727;2529;384;119;2591;103;31087;21231;2678;882;665;8102;4858;17680;3079;7455;3919;5851;831;883;12951;21021;2707;3904;360;9121;11853;2101;5906;671;116;992;11065;1268;5944;129;647
"S020C";25914;33152;14836;2450;2689;366;596;5591;442;588;2177;131;9459;6807;1887;1639;1025;3017;9931;1667;389;4624;4907;2616;217;6351;6600;1464;508;7486;12129;1002;826;14780;1414;210;88;1659;82;20358;11154;1419;775;654;4664;2652;11755;1751;3435;2171;4387;562;585;5199;14325;1853;1724;216;5427;9108;1602;5022;376;63;651;6148;1430;4274;87;488
"S020D";27287;38351;13421;3301;3701;479;849;5094;573;356;1804;99;8558;6298;2213;2316;1244;3274;13362;2283;413;3562;8058;3379;146;8349;8831;2465;548;14810;20405;1483;989;21739;1986;325;119;2537;10;22103;10515;1587;1090;784;6920;3019;13232;2737;4529;3870;5068;740;619;7671;19833;1928;2099;321;7670;8844;1942;5830;482;77;1207;8595;1522;6126;123;443
"S032A";91428;105918;96263;5673;9631;1840;1209;22501;1157;420;3474;1156;18818;16606;6176;3412;2371;11350;25985;4974;2994;7656;6873;2928;6940;11990;11099;1942;7042;18404;33426;414;29913;31731;12940;293;623;1111;106;48033;44192;11690;8239;8074;186;2258;6861;9760;6456;19077;6520;30920;7468;3103;13980;2171;4425;1888;5518;4165;4082;11737;986;29775;2089;6571;2665;5301;7984;2214
"S032B";48629;55262;54837;3366;5125;982;640;12694;579;925;3387;597;9225;8949;3355;1926;2558;5475;12431;2267;1608;3021;4070;1590;5390;5317;5437;1060;4566;15606;20600;426;17482;53841;4419;164;207;670;692;21806;23390;2855;2489;2745;94;1455;3098;3152;8090;8301;2805;15597;3424;916;4116;487;1852;267;2500;984;1242;3788;719;15227;981;3315;930;3854;3489;1015
"S032C";67411;81425;67546;4108;6678;1260;961;17880;1282;1071;3833;1182;11341;11485;6052;2200;1212;7285;17748;2928;1874;5174;4818;2060;9013;6420;8229;1515;4356;13873;24493;390;19744;45617;8305;217;396;1590;641;38237;27294;6949;8825;5007;209;1689;3753;12145;8134;12758;5744;23437;3760;1133;8622;1467;3030;815;4211;2614;2514;9488;1267;22896;1136;6091;4132;7208;5544;5281
"S032D";59772;79113;64561;4454;6375;1267;947;15785;1489;1293;2778;1489;10646;9899;6069;2357;1685;7163;18357;2874;1604;5579;4544;1972;4849;6102;8063;1434;3694;12827;21333;452;16651;30399;7877;259;389;1115;87;35027;26045;6616;7172;4271;171;1346;3417;8673;5387;12353;4213;18350;3054;1071;8319;1233;2313;1278;3274;1847;2026;7111;726;21805;1156;3597;3240;4993;5640;1279
"S067A";34806;59621;50963;7006;7889;1908;919;48406;565;829;7323;236;19242;15876;2381;2872;3037;12295;18448;5211;1039;5537;12149;8242;3930;4692;13281;1983;530;28401;40384;630;3534;52388;2855;208;243;1787;9;45911;36182;13083;2183;4838;229;391;4834;6923;10070;2784;1568;1735;1234;2266;4763;1412;2890;636;1144;5750;9065;11084;2874;298;873;1342;2637;15691;228;1455
"S067B";17177;31337;25388;3868;3807;877;570;19692;248;327;3177;92;7764;7224;1152;1623;1044;5660;9353;2404;305;1682;5549;3776;861;2317;6318;884;237;7701;8231;344;1703;18500;1276;91;145;953;49;25176;18272;4678;1229;2069;102;261;3124;4016;4778;1395;1011;1146;758;1157;2776;833;1683;296;819;3777;7885;11099;914;155;689;820;1195;7634;111;330
"S067C";31921;52163;49993;7011;6245;1289;1314;38708;382;737;5286;231;14131;14362;2138;2315;3289;11179;14672;3852;659;6184;9362;6703;2592;3389;10136;1425;378;17914;21572;319;2939;44310;2361;154;191;1605;28;42352;35026;9872;2614;4233;198;318;3925;7946;8102;2162;1384;2164;1016;1475;3820;1071;2726;480;937;4490;9591;11519;1225;236;829;1164;2381;10208;205;407
"S067D";31153;52902;50844;6962;5816;1390;1017;34695;425;633;5104;185;14430;14949;1758;2059;2885;9849;14210;3600;846;6233;8629;6397;3009;3516;9329;1237;436;13833;16878;693;3239;34525;1901;162;228;1185;115;39297;34955;10625;1737;3885;132;348;4370;5208;8503;1914;1124;1978;1176;1511;3064;1283;2663;546;1044;4400;8796;12307;2295;236;521;1019;2594;12565;189;442
"S213A";15568;56150;34142;5916;3302;539;1563;17751;360;331;2928;287;8537;4123;2503;2486;1853;3153;7671;2098;1138;3159;6070;1664;1934;9106;5623;2557;2060;8347;16548;435;9623;22248;3686;206;730;5045;35;28940;16684;4148;4210;2092;8299;4016;30251;3974;5190;4923;17982;2922;2880;2187;18536;1941;2182;4313;1570;11374;3156;8567;541;12643;1567;13249;1004;3816;3930;5822
"S213B";23720;70045;51987;7286;5910;1196;1918;18870;776;10656;12522;468;13184;6992;3692;4860;2030;4919;10951;3690;2095;3458;11198;3054;3311;11343;8512;4233;5541;11914;18388;615;18704;41194;3984;297;1115;7899;41;34772;27687;6845;4994;3211;11085;10756;46473;5613;7739;5803;18441;4845;6214;3254;18549;2452;4558;3728;2878;16460;4628;13455;1690;15597;2133;15713;1268;9529;4858;4189
"S213C";25229;94250;54357;8347;4909;784;2837;22772;779;589;4938;970;12277;7304;5301;3810;2242;5168;11930;3207;1972;8072;7894;2593;1394;10429;7392;2323;4596;10805;21220;555;17236;25868;4391;219;870;5175;185;40171;26585;3198;7055;5184;10195;7050;47024;1702;6482;5712;20507;5811;6763;4069;19064;2958;5271;4732;2868;22739;6269;19875;868;19983;1695;11686;1832;8271;4801;2538
"S213D";22594;74185;35238;6268;5030;770;1913;27071;836;686;3828;638;16134;4578;5043;4205;2759;4767;13968;4029;1277;6989;11281;2802;1558;13687;10703;4267;3369;12182;22848;801;10927;30519;5495;392;1149;8357;5;43249;17589;6833;12723;5682;11335;5716;46548;5878;8275;8139;22328;6232;6473;3992;27848;2371;3490;6027;4303;19646;4992;15437;2000;16052;3255;12762;1804;15048;6840;3230
"S301A";18816;56491;22847;7612;8243;1556;544;15598;568;681;4002;1120;29827;7354;1955;5101;1512;11539;31825;7049;883;9724;35356;12256;2082;6425;26312;8713;1142;9980;13791;341;11187;19973;3932;660;2293;3850;100;14903;9482;2316;1295;2664;2910;499;5876;1667;4264;4934;1428;1173;1043;12658;4057;1846;2607;4627;7640;1588;2007;3018;633;96;1740;10475;833;8203;179;461
"S301B";15400;35867;14965;4286;6089;1769;447;16857;504;805;4374;988;26983;5618;1615;4903;1461;9130;27643;5896;608;9563;36093;11275;1924;7625;25185;10187;979;6498;9391;527;7755;16224;3329;690;1793;6687;40;8988;5830;2941;2415;4329;4873;538;8498;2574;3285;5381;2774;1977;1162;23398;5915;2603;4639;3545;13210;2980;3535;5265;336;81;2206;18411;966;8334;154;1067
