ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	1	1	"protein 86"	"273"	3060	1880	100	474	703	471	538	856	538	519	24	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-64	165	Error	-64	165	56254	-0.295	66	60	1
1	2	1	"protein 86"	"273"	3300	1880	100	1228	1258	148	1397	1399	1397	88	4	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-169	-139	Error	-169	-139	100616	-1.602	11	6	2
1	3	1	"protein 86"	"273"	3550	1880	100	975	982	187	1139	1155	1139	176	6	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-164	-157	Error	-164	-157	78555	-0.983	19	15	3
1	4	1	"protein 97"	"277"	3790	1880	100	666	658	126	939	937	939	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-273	-281	Error	-273	-281	52603	-3.033	19	9	4
1	5	1	"protein 97"	"277"	4040	1880	100	660	660	138	979	981	979	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-319	-319	Error	-319	-319	52769	-3.489	20	9	5
1	6	1	"protein 97"	"277"	4280	1880	100	675	680	136	1060	1053	1060	92	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-385	-380	Error	-385	-380	54411	-4.054	20	8	6
1	7	1	"protein 114"	"281"	4530	1880	100	698	792	267	1122	1099	1122	135	8	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-424	-330	Error	-424	-330	63374	-2.274	33	12	7
1	8	1	"protein 114"	"281"	4770	1880	100	784	910	376	1175	1165	1175	121	16	14	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-391	-265	Error	-391	-265	72789	-2.107	41	10	8
1	9	1	"protein 114"	"281"	5020	1880	100	635	684	146	1114	1100	1114	137	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-479	-430	Error	-479	-430	54731	-3.036	21	12	9
1	10	1	"blank-22"	"285"	5260	1880	100	437	477	127	924	930	924	89	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-487	-447	Error	-487	-447	38134	-5.090	26	9	10
1	11	1	"blank-22"	"285"	5510	1880	100	451	489	146	900	901	900	79	1	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-449	-411	Error	-449	-411	39089	-5.215	29	8	11
1	12	1	"blank-22"	"285"	5750	1880	100	480	499	92	919	926	919	87	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-439	-420	Error	-439	-420	39905	-4.908	18	9	12
1	1	2	"protein 68"	"257"	3060	2130	100	559	677	348	595	897	595	527	11	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-36	82	Error	-36	82	54179	-0.417	51	58	13
